cod_modelo_color,cane_height_type,closure_placement,heel_shape_type,knit_structure,length_type,neck_lapel_type,silhouette_type,sleeve_length_type,toecap_type,waist_type,woven_structure
82_1078867,,6,,3,,31,,2,,,
82_1078894,,6,,1,,31,,2,,,
82_1078898,,6,,1,,31,,2,,,
82_1078901,,1,,1,,23,,2,,,
82_1078919,,,,,,26,37,,,,
82_1078926,,6,,3,,1,,2,,,
82_1078997,,1,,,10,6,37,2,,,3
82_1079358,,1,,,10,26,37,2,,,1
82_1079363,,,,,,4,34,1,,,
82_1079368,,,,,,26,37,2,,,
82_1079376,,1,,,10,26,37,2,,,1
82_1079380,,,,,,17,34,1,,,
82_1079384,,,,,,26,37,2,,,
82_1079389,,,,,,26,37,2,,,
82_1079396,,1,,,10,26,37,2,,,1
82_1079400,,,,,,26,34,2,,,
82_1079401,,,,,,4,34,1,,,
82_1079418,,1,,,10,26,37,2,,,1
82_1079426,,,,,,26,37,2,,,
82_1079427,,,,,,4,34,1,,,
82_1079433,,,,,,26,37,1,,,
82_1079441,,,,,,4,34,1,,,
82_1079445,,1,,,10,26,37,2,,,1
82_1079446,,,,,,26,37,1,,,
82_1079455,,,,,,26,37,1,,,
82_1079471,,,,,,26,37,2,,,
82_1079476,,,,,,26,37,1,,,
82_1079486,,,,,3,,,,,,
82_1079681,,,,,10,26,37,2,,,
82_1079685,,,,,10,,34,,,,3
82_1079737,,,,,10,,37,,,,3
82_1079814,,,,,10,26,37,2,,,
82_1079838,,1,,,10,4,37,2,,,1
82_1079840,,,,,10,26,37,2,,,
82_1079874,,,,,10,26,34,2,,,
82_1080095,,1,,,10,26,34,2,,,1
82_1080096,,1,,,10,26,37,2,,,1
82_1080104,,,,,10,26,37,2,,,
82_1080107,,6,,2,,31,,2,,,
82_1080108,,,,,10,26,34,2,,,
82_1080111,,,,,,26,34,1,,,
82_1080115,,1,,3,,27,,2,,,
82_1080125,,,,,,4,34,1,,,
82_1080129,,1,,,10,26,37,2,,,1
82_1080133,,,,,,26,37,1,,,
82_1080152,,,,,,4,34,1,,,
82_1080154,,6,,2,,1,,2,,,
82_1080156,,,,,10,26,34,2,,,
82_1080183,,6,,2,,1,,2,,,
82_1080188,,,,,10,26,34,2,,,
82_1080189,,1,,3,,27,,2,,,
82_1080202,,6,,2,,1,,2,,,
82_1080203,,6,,1,,1,,2,,,
82_1080205,,,,,,26,37,,,,
82_1080206,,,,,10,26,34,2,,,
82_1080219,,,,,10,26,34,2,,,
82_1080386,,6,,1,,31,,2,,,
82_1080393,,6,,1,,31,,2,,,
82_1080425,,1,,1,,23,,2,,,
82_1080449,,6,,1,,31,,2,,,
82_1080453,,6,,1,,24,,2,,,
82_1080457,,6,,1,,31,,2,,,
82_1080533,,1,,1,,23,,2,,,
82_1080543,,,,,,26,37,,,,
82_1080581,,1,,,10,6,37,2,,,3
82_1080587,,1,,,10,6,37,2,,,3
82_1080607,,1,,,10,6,37,2,,,3
82_1080653,,,,,4,,,,,,
82_1080674,,,,,3,,,,,,
82_1080701,,1,,,,6,34,2,,,
82_1080775,,,,,4,,,,,,
82_1080780,,,,,10,,37,,,4,2
82_1080818,,,,,4,,,,,,
82_1080879,,,,,,26,34,2,,,
82_1080889,,,,,10,,37,,,4,2
82_1080893,,,,,4,,,,,,
82_1080924,,,,,10,,37,,,4,2
82_1080928,,,,,4,,,,,,
82_1080930,,,,,3,,,,,,
82_1080936,,1,,,,6,34,2,,,
82_1080970,,,,,4,,,,,,
82_1081002,,,,,10,,37,,,4,2
82_1081005,,1,,,,6,34,2,,,
82_1081052,,,,,4,,,,,,
82_1081091,,,,,10,,37,,,4,2
82_1081106,,,,,10,,37,,,4,2
82_1081116,,4,,1,10,23,32,2,,,
82_1081123,,,,,10,,37,,,4,2
82_1081146,,,,,4,,34,,,4,2
82_1081149,,,,,10,,37,,,4,2
82_1081160,,,,,4,,,,,,
82_1081181,,,,,3,,20,,,,
82_1081184,,6,,,,7,,2,,,
82_1081187,,6,,,,,,2,,,
82_1081188,,6,,,,,,2,,,
82_1081195,,,,,3,,,,,,
82_1081203,,,,,3,,20,,,,
82_1081204,,6,,,,7,,2,,,
82_1081226,,6,,,,,,2,,,
82_1081228,,6,,,,,,2,,,
82_1081239,,,,,5,,,,,,
82_1081243,,,,,3,,20,,,,
82_1081249,,6,,,,,,2,,,
82_1081263,,,,,4,,17,,,,
82_1081265,,1,,,,6,34,1,,,
82_1081302,,1,,,,6,34,1,,,
82_1081305,,6,,,,,,2,,,
82_1081317,,,,,,,,1,,,
82_1081324,,,,,,,,1,,,
82_1081329,,6,,,,,,2,,,
82_1081346,,6,,,,,,2,,,
82_1081349,,6,,,,,,2,,,
82_1081375,,,,,,,34,,,,
82_1081411,,1,,,,6,34,1,,,
82_1081415,,6,,,,,,2,,,
82_1081471,,,,,5,,36,,,4,
82_1081482,,,,,3,,,,,,
82_1081503,,,,1,5,,32,,,,
82_1081542,,1,,,,6,34,2,,,
82_1081554,,,,,5,,37,,,,
82_1081576,,,,,5,,37,,,,
82_1081607,,1,,,,6,34,2,,,
82_1081653,,,,1,10,24,37,,,,
82_1081658,,,,,5,,,,,1,
82_1081659,,,,,3,,,,,,
82_1081667,,,,,5,,17,,,,
82_1081713,,,,,3,,,,,,
82_1081855,,,,,,,,1,,,
82_1082173,,,,,,29,37,,,,2
82_1082174,,,,,3,5,37,1,,,
82_1082187,,,,,,,,1,,,
82_1082188,,,,,4,,36,,,4,3
82_1082190,,,,,,,,1,,,
82_1082193,,,,,3,,32,,,4,
82_1082195,,,,,3,5,37,1,,,
82_1082197,,,,,,,,1,,,
82_1082216,,,,,4,,36,,,4,3
82_1082218,,,,,5,,31,,,3,3
82_1082222,,,,,10,,38,,,2,3
82_1082227,,,,,5,,31,,,3,3
82_1082230,,,,,10,,26,,,2,3
82_1082231,,,,,10,,32,,,4,3
82_1082234,,,,,3,,32,,,4,
82_1082239,,,,,4,,32,,,,
82_1082241,,,,,10,,38,,,2,3
82_1082249,,1,,,,6,34,2,,,
82_1082250,,,,,10,,32,,,4,3
82_1082254,,,,,3,5,37,1,,,
82_1082267,,,,,10,,17,,,2,3
82_1082270,,,,,,,,1,,,
82_1082281,,,,,,29,37,,,,2
82_1082299,,,,,10,,32,,,4,3
82_1082302,,,,,5,,36,,,2,3
82_1082303,,,,,5,,31,,,3,3
82_1082343,,,,,5,,36,,,4,
82_1082346,,,,,5,,36,,,4,
82_1082358,,,,,10,,17,,,2,3
82_1082370,,,,,10,,37,,,,
82_1082371,,,,,4,,36,,,4,3
82_1082374,,,,,5,,31,,,3,3
82_1082379,,,,,,29,37,,,,2
82_1082385,,,,,5,,36,,,4,
82_1082388,,,,,10,,38,,,2,3
82_1082392,,,,,,,,1,,,
82_1082395,,,,,5,,44,,,2,3
82_1082396,,,,,10,,37,,,,
82_1082397,,,,,10,,38,,,2,3
82_1082398,,,,,10,,32,,,4,3
82_1082399,,,,,5,,36,,,4,
82_1082403,,,,,4,,32,,,,
82_1082406,,,,,4,,32,,,,
82_1082407,,,,,,,4,,,,
82_1082418,,,,,,29,37,,,,2
82_1082427,,,,,4,,36,,,4,
82_1082432,,,,,,,4,,,,
82_1082442,,,,,3,5,37,1,,,
82_1082447,,,,,,,4,,,,
82_1082454,,,,,3,,32,,,4,
82_1082456,,,,,5,,44,,,2,3
82_1082470,,,,,5,,3,,,4,3
82_1082476,,,,,5,,36,,,2,3
82_1082477,,,,,10,,37,,,,
82_1082484,,,,,5,,3,,,4,3
82_1082488,,,,,5,,44,,,2,3
82_1082494,,,,,5,,36,,,2,3
82_1082496,,,,,5,,36,,,2,3
82_1082525,,,,,,,,1,,,
82_1082536,,,,,5,,36,,,4,3
82_1082564,,,,,10,,26,,,2,3
82_1082568,,6,,,,,,2,,,
82_1082592,,,,,,,,1,,,
82_1082623,,,,,5,,36,,,2,3
82_1082632,,6,,,,7,,2,,,
82_1082668,,,,,,,,1,,,
82_1082682,,,,,10,,26,,,2,3
82_1082717,,,,,,,,1,,,
82_1082718,,,,,10,,26,,,2,3
82_1082721,,,,,5,,36,,,2,3
82_1082737,,,,,4,,36,,,4,3
82_1082775,,,,,5,,36,,,2,3
82_1082781,,6,,,,7,,2,,,
82_1082783,,,,,,,34,,,,
82_1082807,,,,,,,,1,,,
82_1082809,,,,,5,,3,,,4,3
82_1082816,,,,,10,,26,,,2,3
82_1082818,,6,,,,7,,2,,,
82_1082857,,,,,5,,36,,,3,3
82_1082888,,,,,,,,1,,,
82_1082964,,,,,,,4,,,,
82_1083039,,,,,10,31,32,1,,,1
82_1083116,,,,,10,31,32,1,,,1
82_1083143,,,,,5,,36,,,4,3
82_1083150,,,,,,,4,,,,
82_1083203,,,,,3,,32,,,,
82_1083204,,,,,5,,37,,,,
82_1083238,,,,,,,4,,,,
82_1083241,,,,,5,,37,,,,
82_1083256,,,,,,,4,,,,
82_1083260,,,,,,,4,,,,
82_1083333,,,,,3,,,,,,
82_1083373,,,,,10,31,32,1,,,1
82_1083400,,,,,,,4,,,,
82_1083428,,,,,5,,36,,,2,3
82_1083442,,,,,10,31,32,1,,,1
82_1083456,,,,,,,4,,,,
82_1083491,,,,,10,31,32,1,,,1
82_1083496,,,,,10,31,32,1,,,1
82_1083522,,,,,,,4,,,,
82_1083544,,,,,,,4,,,,
82_1083614,,,,,,,4,,,,
82_1083631,,,,,3,,,,,,
82_1083640,,,,,,,,2,,,
82_1083669,,,,,,29,37,,,,
82_1083724,,,,,3,,,,,,
82_1083751,,,,,10,31,32,1,,,1
82_1083756,,6,,,,7,,2,,,
82_1083758,,,,,,,,1,,,
82_1083759,,,,,,7,,,,,
82_1083796,,,,,3,,,,,,
82_1083800,,,,,5,,32,,,4,
82_1083806,,6,,,,7,,2,,,
82_1083844,,,,,5,5,37,2,,,
82_1083860,,,,,3,,,,,,
82_1083892,,,,,5,,32,,,,
82_1083899,,,,,5,,24,,,4,
82_1083911,,,,,5,,32,,,,
82_1083916,,,,,,,,1,,,
82_1083926,,,,,3,,,,,,
82_1083965,,,,,5,,9,,,,
82_1083973,,,,,3,,,,,,
82_1084024,,,,,,,,2,,,
82_1084122,,,,,3,,,,,,
82_1084162,,,,,3,,,,,,
82_1084199,,,,,,,,2,,,
82_1084201,,,,2,,,,,,,
82_1084203,,,,,3,,,,,,
82_1084257,,,,,,,,1,,,
82_1084260,,,,,,,,1,,,
82_1084282,,3,,,3,5,32,2,,,1
82_1084317,,,,,,,,1,,,
82_1084333,,,,,5,,,,,,
82_1084335,,,,,,,,1,,,
82_1084338,,,,,,,,1,,,
82_1084340,,,,,,,32,2,,,
82_1084355,,1,,,10,26,37,2,,,2
82_1084378,,3,,,3,11,37,2,,,1
82_1084380,,,,,,21,,1,,,
82_1084384,,1,,,5,6,27,2,,,1
82_1084395,,,,,3,,,,,,
82_1084425,,,,,,,,2,,,
82_1084446,,,,,3,,32,,,,
82_1084448,,,,,,,,1,,,
82_1084486,,,,,3,,,,,,
82_1084499,,,,,5,,3,,,,
82_1084500,,,,,,,32,2,,,
82_1084504,,,,,,,,1,,,
82_1084519,,,,,5,,,,,,
82_1084524,,1,,,5,18,32,2,,,1
82_1084539,,,,,,,4,,,,
82_1084541,,6,,3,,1,,2,,,
82_1084550,,,,,,31,32,1,,,
82_1084551,,,,,5,,,,,,
82_1084561,,,,,3,19,20,1,,,1
82_1084573,,,,,5,,,,,,
82_1084575,,,,,3,19,20,1,,,1
82_1084579,,3,,,3,5,32,2,,,1
82_1084585,,6,,3,,1,,2,,,
82_1084593,,,,,5,,,,,,
82_1084604,,,,,5,,,,,,
82_1084609,,1,,,10,26,37,2,,,2
82_1084669,,,,,5,,,,,,
82_1084673,,,,,,,,1,,,
82_1084684,,,,,5,6,32,2,,,1
82_1084687,,,,,,,,1,,,
82_1084713,,,,,,,,1,,,
82_1084730,,,,,3,,,,,,
82_1084766,,,,,5,,3,,,,
82_1084771,,,,,5,,,,,,
82_1084777,,1,,2,,23,,2,,,
82_1084783,,,,,,,,1,,,
82_1084787,,,,,,,,2,,,
82_1084795,,,,,,,,2,,,
82_1084811,,,,,3,5,32,2,,,
82_1084825,,,,,5,,,,,,
82_1084842,,,,,,31,,1,,,
82_1084883,,,,,5,,34,,,,
82_1084885,,,,1,,,,,,,
82_1084888,,,,,10,26,37,2,,,
82_1084889,,1,,,,,,6,,,2
82_1084897,,,,,,24,32,2,,,
82_1084901,,6,,,5,29,,2,,,
82_1084912,,,,,,5,,1,,,
82_1084913,,1,,,10,5,,2,,,3
82_1084914,,,,,5,,36,,,4,
82_1084925,,1,,,10,18,37,2,,,1
82_1084926,,,,,,26,37,,,,
82_1084933,,,,,8,6,32,2,,,
82_1084936,1,,,,,,,,,,
82_1084939,,,,,,5,32,1,,,
82_1084941,,6,,1,5,24,37,2,,,
82_1084955,,,,,,5,,2,,,
82_1084959,,,,,3,,37,,,,
82_1084965,,,,,,,4,,,,
82_1084968,,,,,3,,20,,,,
82_1084970,,1,,,4,6,32,2,,,1
82_1084980,,,,,10,17,34,2,,,
82_1084993,,6,,1,5,31,20,2,,,
82_1084995,,,,,4,,26,,,2,3
82_1084996,,,,,5,5,32,2,,,
82_1085001,,,,,,26,37,2,,,
82_1085002,,,,,4,5,37,4,,,
82_1085012,,,,,,16,32,4,,,
82_1085015,,,7,,,,,,,,
82_1085020,,,,,,24,32,2,,,
82_1085024,,,,,5,,3,,,4,3
82_1085030,,,,,,26,34,2,,,
82_1085033,,,,,3,24,32,4,,,
82_1085037,,,,,,5,,1,,,
82_1085045,,,,,,26,37,,,,
82_1085049,,,,,,5,,2,,,
82_1085050,,1,,,10,26,34,2,,,1
82_1085053,,6,,,,,,2,,,
82_1085056,,,,,,5,,1,,,
82_1085059,,1,,,10,31,32,2,,,1
82_1085062,,,,,,,32,2,,,
82_1085063,,6,,2,10,1,32,2,,,
82_1085065,1,,,,,,,,,,
82_1085066,,,,,,5,,2,,,
82_1085068,,6,,1,8,24,32,2,,,
82_1085069,,1,,1,10,1,32,2,,,
82_1085072,,6,,2,,31,,2,,,
82_1085076,,,,,,26,37,,,,
82_1085078,,2,,3,10,5,32,2,,,
82_1085079,,,,,,5,,1,,,
82_1085088,,,,,,24,32,2,,,
82_1085104,,1,,1,,7,,2,,,
82_1085110,,,,,10,26,37,2,,,
82_1085113,,,,,10,,37,,,,
82_1085116,,,,1,5,,28,,,2,
82_1085118,,6,,2,,5,,2,,,
82_1085119,,,,,5,,,,,,
82_1085123,,6,,,5,13,32,4,,,1
82_1085132,,,,,,5,,1,,,
82_1085133,,,,,4,,37,,,,
82_1085138,,,,,,,4,,,,
82_1085140,,,,,,26,37,,,,
82_1085142,,,,,,5,,1,,,
82_1085145,,,,,5,,,,,,
82_1085146,,1,,,10,18,37,2,,,1
82_1085150,,,,,4,,17,,,1,
82_1085153,,,,,3,,,,,4,
82_1085155,,6,,1,3,31,37,2,,,1
82_1085162,,2,,3,10,23,32,6,,,1
82_1085163,,1,,,10,18,37,2,,,1
82_1085171,,,,,,,,1,,,
82_1085173,,,,,10,7,,2,,,
82_1085185,,,,,5,,37,,,,
82_1085191,,,,,10,5,,2,,,
82_1085198,,,,,4,5,32,,,,
82_1085203,,6,,1,8,24,32,2,,,
82_1085204,,,,,10,7,,2,,,
82_1085207,,,,,5,,,,,1,
82_1085210,,,,,,5,,2,,,
82_1085233,1,,,,,,,,,,
82_1085236,,,,,10,26,37,,,,
82_1085252,,,,,,,,2,,,
82_1085254,,,,3,,1,32,4,,,
82_1085255,,,,,,5,32,2,,,
82_1085259,,,,,5,,,,,1,
82_1085270,,1,,,10,31,27,2,,,1
82_1085272,,1,,1,10,31,32,2,,,1
82_1085278,,,,,5,,,,,1,
82_1085279,,,7,,,,,,,,
82_1085283,,,,,5,,3,,,4,3
82_1085289,,,,,,5,,1,,,
82_1085300,,,,,10,26,37,2,,,
82_1085303,,,,,,5,,1,,,
82_1085316,,,,,,29,32,,,,
82_1085320,,,,,5,,,,,,
82_1085322,,,,,,,,2,,,
82_1085325,,,,,4,,36,,,4,3
82_1085328,,,,,10,,37,,,,
82_1085329,,,,,3,,20,,,2,
82_1085331,,,,,,5,,1,,,
82_1085333,,,,,,5,32,1,,,
82_1085339,,,,,,5,,1,,,
82_1085340,,,,,,5,,2,,,
82_1085342,,,,,,26,37,2,,,
82_1085345,,,,,,,,2,,,
82_1085346,,1,,,,26,37,,,,
82_1085349,,,,,,,,1,,,
82_1085350,,6,,3,10,24,32,2,,,
82_1085354,,,,,,26,37,2,,,
82_1085355,,,,,10,,23,,,1,1
82_1085359,,1,,,10,31,32,2,,,1
82_1085368,,,,,,24,32,2,,,
82_1085369,,,,,,26,37,2,,,
82_1085370,,,,,5,,34,,,,
82_1085373,,6,,2,10,1,32,2,,,
82_1085374,,6,,1,5,24,37,2,,,
82_1085375,,,,1,5,25,32,1,,,
82_1085376,,6,,3,5,1,32,2,,,
82_1085377,,1,,,10,26,34,2,,,1
82_1085380,,,,,3,,32,,,4,
82_1085388,,,,,5,,37,,,,
82_1085391,,,,,,26,37,2,,,
82_1085396,,1,,,10,6,37,2,,,1
82_1085397,,,7,,,,,,,,
82_1085398,,,,,4,,37,,,,
82_1085399,,,,,10,26,34,2,,,
82_1085401,,,,,5,,36,,,3,3
82_1085402,,,,,10,17,34,2,,,
82_1085405,,6,,2,5,1,32,2,,,
82_1085408,,,,,,26,34,2,,,
82_1085410,,,,,10,,26,,,2,3
82_1085413,,6,,,10,5,,2,,,3
82_1085414,,,,,,16,32,4,,,
82_1085415,,,,,10,26,37,,,,
82_1085418,,,,,3,,24,,,4,
82_1085419,,,,,8,6,32,2,,,
82_1085425,,,,,5,,36,,,2,3
82_1085427,,,,,,26,34,2,,,
82_1085432,1,,,,,,,,,,
82_1085439,,1,,,4,6,32,2,,,1
82_1085451,,,,,5,,36,,,2,3
82_1085454,,,,,,1,37,2,,,
82_1085455,,,,,,,37,,,,
82_1085462,,,,,10,,37,,,,
82_1085473,,,,,10,9,,,,,
82_1085476,,,,,,5,32,2,,,1
82_1085483,,1,,,,26,37,,,,
82_1085485,,,,,5,,,,,,
82_1085486,,,,,,26,37,,,,
82_1085487,,,7,,,,,,,,
82_1085490,,,,,,24,32,1,,,
82_1085494,,1,,3,10,24,32,2,,,
82_1085506,,,,1,5,,,,,,
82_1085515,,1,,2,10,24,32,2,,,
82_1085516,,,,,,,,1,,,
82_1085524,,6,,,10,7,,2,,,3
82_1085532,,,,,,24,32,2,,,
82_1085535,,1,,2,10,24,32,2,,,
82_1085540,,1,,1,10,31,32,2,,,
82_1085548,,,,,5,,2,,,,
82_1085553,,1,,,10,6,32,2,,,1
82_1085557,,1,,2,10,24,32,2,,,
82_1085558,,,,,8,24,32,1,,,
82_1085559,,,,,10,6,32,2,,,
82_1085564,,,,,10,26,37,2,,,
82_1085568,,,,,,5,,1,,,
82_1085573,,,,,,5,,1,,,
82_1085574,,,,,5,,,,,,
82_1085576,,,,,,,,1,,,
82_1085580,,,,,5,,36,,,2,3
82_1085586,,,,,,,37,,,,
82_1085588,,,,,,1,32,2,,,
82_1085590,,,,,10,,26,,,2,3
82_1085594,,,,,,26,37,,,,
82_1085595,,,,,,24,32,2,,,
82_1085598,,,,,5,,,,,4,
82_1085606,,6,,,10,7,34,2,,,1
82_1085610,,6,,,10,7,34,2,,,1
82_1085611,,,,,5,,36,,,2,3
82_1085626,,6,,3,10,24,32,2,,,
82_1085628,,,,,10,18,37,2,,,
82_1085632,,,7,,,,,,,,
82_1085634,,,,,,29,37,,,,2
82_1085636,,,,,,5,,1,,,
82_1085650,,,,,10,,37,,,,
82_1085653,,1,,,,26,37,,,,
82_1085658,,,,,,26,37,2,,,
82_1085659,,6,,,10,5,,2,,,3
82_1085665,,3,,,5,5,32,2,,,1
82_1085668,,,,,,,,1,,,
82_1085669,,6,,,10,7,,2,,,3
82_1085678,,,,,,,,1,,,
82_1085679,,,,,,5,,1,,,
82_1085682,,,,,,26,37,,,,
82_1085684,,,,,5,,,,,,
82_1085692,,4,,,10,31,32,2,,,1
82_1085700,,,,,,6,32,2,,,
82_1085705,,,,,3,7,37,,,,
82_1085713,,1,,,10,26,37,2,,,1
82_1085722,,1,,2,10,24,32,2,,,
82_1085733,,,,,,5,32,1,,,
82_1085735,,,,,5,,36,,,2,3
82_1085743,,,,,,24,32,2,,,
82_1085746,,,,,3,7,37,,,,
82_1085751,,,,,3,,,,,4,
82_1085754,,,7,,,,,,,,
82_1085759,,,,,,6,32,2,,,
82_1085764,,6,,1,,31,,2,,,
82_1085778,,,,,10,26,37,,,,
82_1085780,,,,,,5,32,2,,,1
82_1085781,,,,,,,32,,,,
82_1085782,,,,,,,4,,,,
82_1085793,,,,,,26,37,,,,
82_1085797,,,,,3,,32,,,1,
82_1085803,,,,,,,32,,,,
82_1085805,,,,,10,6,32,2,,,
82_1085807,,,,,,24,32,2,,,
82_1085809,,,,,,1,32,2,,,
82_1085818,,,,,,5,,1,,,
82_1085819,,,,,,1,37,2,,,
82_1085822,,,,,,5,,2,,,
82_1085825,,1,,,10,18,37,2,,,1
82_1085827,,1,,,10,5,,2,,,3
82_1085829,,,,,5,,3,,,4,3
82_1085833,,,,,,26,37,,,,
82_1085843,,,,,,5,,2,,,
82_1085851,,,,,3,,,,,,
82_1085866,,,,,,,4,,,,
82_1085873,,,,,,5,,2,,,
82_1085886,,,,,3,,37,2,,,
82_1085891,,,,,10,,26,,,2,3
82_1085895,,6,,,,,,2,,,
82_1085899,,,,,10,,26,,,2,3
82_1085900,,,,,,5,,1,,,
82_1085912,,,,,,5,32,2,,,
82_1085914,,,,,5,,3,,,4,3
82_1085920,,,,,,,,1,,,
82_1085934,,,,,10,,23,,,1,1
82_1085938,,,,,10,26,34,2,,,
82_1085940,,,,,,5,32,2,,,
82_1085942,,1,,,10,26,34,2,,,1
82_1085944,,,,,10,17,34,2,,,
82_1085948,,,,,,5,,1,,,
82_1085957,,,,,10,,37,,,,
82_1085961,,,,,10,,37,,,,
82_1085963,,6,,1,5,24,32,2,,,
82_1085966,,,,,10,,37,,,,
82_1085969,,,,,,5,,1,,,
82_1085976,,1,,,,29,32,2,,,3
82_1085980,,,,,10,26,37,2,,,
82_1085995,,,,,5,5,37,1,,,
82_1085996,,,,,,,32,,,,
82_1085998,,1,,3,10,24,32,2,,,1
82_1085999,,1,,,10,6,37,2,,,1
82_1086000,,5,,,4,11,37,2,,,1
82_1086002,,,,,10,9,,,,,
82_1086003,,6,,1,10,31,32,2,,,1
82_1086010,,,,,4,5,37,4,,,
82_1086012,,,,,,,4,,,,
82_1086016,,,,,4,,17,,,1,
82_1086021,,,,,5,,,,,,
82_1086024,,,,,,,,1,,,
82_1086027,,1,,,10,26,37,2,,,1
82_1086035,,,,,,5,32,1,,,
82_1086039,,1,,,10,18,37,2,,,1
82_1086043,,1,,,10,18,37,2,,,1
82_1086046,,,,,,24,32,2,,,
82_1086047,,1,,,10,6,32,2,,,1
82_1086056,,,,,,26,37,,,,
82_1086074,,,,,10,,37,,,,
82_1086076,,,,,,5,32,2,,,
82_1086091,,4,,,10,31,32,2,,,1
82_1086092,,,,,,,,2,,,
82_1086097,,,,,10,26,37,,,,
82_1086103,,,,,10,26,34,1,,,
82_1086113,,,,,,,,1,,,
82_1086119,,,,,3,24,,2,,,
82_1086123,,,,3,,1,32,4,,,
82_1086124,,6,,,10,7,,2,,,3
82_1086125,,,,,,26,34,2,,,
82_1086128,,,,,5,,,,,1,
82_1086141,,,,,8,,20,,,,
82_1086149,,,,,5,,36,,,2,3
82_1086151,,1,,1,,23,,2,,,1
82_1086157,,,,,3,11,37,2,,,
82_1086170,,,,,10,26,34,2,,,
82_1086175,,,,,8,,20,,,,
82_1086181,,,,,3,,32,,,4,
82_1086188,,,,,,29,32,,,,
82_1086193,,,,,,7,,,,,
82_1086194,,,,,,7,,,,,
82_1086199,,1,,,10,6,32,2,,,1
82_1086209,,,,,10,7,,2,,,
82_1086210,,1,,,10,6,32,2,,,1
82_1086225,,,,,3,24,32,,,,
82_1086243,,6,,2,,31,,2,,,
82_1086248,,,,,5,,,,,,
82_1086262,,,,,3,,20,,,,
82_1086278,,,,,,1,32,4,,,
82_1086301,,,,,10,26,34,2,,,
82_1086314,,,,,3,,20,,,,
82_1086324,,,,,3,,20,,,,
82_1086333,,,7,,,,,,,,
82_1086423,,,,,,7,,,,,
82_1086428,,1,,,,29,,2,,,2
82_1086449,,1,,,,29,,2,,,2
82_1086464,,,7,,,,,,,,
82_1086516,,,,,5,,36,,,2,3
82_1086532,,,,,5,,32,,,4,
82_1086545,,,,,,7,,,,,
82_1086552,,,,,3,,20,,,,
82_1086577,,,,,,26,34,2,,,
82_1086584,,1,,,,6,34,2,,,
82_1086588,,6,,1,,31,,2,,,
82_1086602,,,,,,29,32,,,,
82_1086608,,,,,10,,32,,,4,3
82_1086629,,,,,10,,38,,,2,3
82_1086634,,,,,,,,2,,,
82_1086637,,,,2,,1,32,2,,,
82_1086638,,,,,5,,17,,,1,2
82_1086645,,,,,5,,17,,,4,3
82_1086646,,,,,,,,2,,,
82_1086647,,,,,,5,,1,,,
82_1086651,,,,,,,,2,,,
82_1086653,,6,,1,,31,,2,,,
82_1086660,,,,,3,,,,,,
82_1086666,,,,,5,,17,,,4,3
82_1086670,,,,,,5,,2,,,
82_1086674,,,,,,19,,2,,,
82_1086675,,,,,10,7,,2,,,
82_1086677,,,,,5,,17,,,,
82_1086689,,,,,,5,,2,,,
82_1086690,,,,,8,5,32,,,,
82_1086709,,,,,5,,32,,,,
82_1086721,,,,,10,,32,,,4,3
82_1086724,,,,1,5,,3,,,1,
82_1086728,,,,2,,1,32,2,,,
82_1086729,,,,,3,,32,,,,
82_1086738,,,,,5,,17,,,1,2
82_1086751,,,,,5,,17,,,4,3
82_1086759,,,,,10,,32,,,4,3
82_1086760,,6,,1,,31,,2,,,
82_1086770,,,,,,,32,,,,1
82_1086774,,,,,3,,,,,,
82_1086784,,,,,5,,32,,,4,
82_1086814,,,,,,,,2,,,
82_1086835,,,,,,,,2,,,
82_1086849,,1,,,,,,2,,,2
82_1086860,,6,,1,,31,,2,,,
82_1086873,,1,,,10,26,34,2,,,2
82_1086887,,,,,,7,,2,,,
82_1086889,,,,,3,,,2,,,
82_1086902,,,,,10,,,,,,
82_1086904,,,,,,5,,2,,,
82_1086905,,,,,10,,,,,,
82_1086926,,,,,10,,32,,,4,3
82_1086933,,6,,1,,31,,2,,,
82_1086953,,6,,2,8,1,32,2,,,
82_1086971,,,,,8,,32,,,2,
82_1086973,,1,,,,,,2,,,3
82_1086974,,,,1,,1,37,2,,,
82_1086982,,,,,,,,2,,,
82_1087017,,4,,3,10,23,32,2,,,
82_1087038,,,,3,5,,,,,1,
82_1087065,,1,,,5,6,32,2,,,1
82_1087066,,1,,,10,6,32,2,,,3
82_1087073,,1,,1,5,29,32,2,,,
82_1087092,,,,,,26,37,2,,,
82_1087093,,6,,2,5,24,,2,,,
82_1087098,,4,,3,10,31,32,2,,,2
82_1087127,,,,1,5,,28,,,1,
82_1087133,,,,1,4,20,37,5,,,
82_1087134,,,,1,,,,,,,
82_1087139,,,,,5,,32,,,4,
82_1087155,,,,,8,,24,,,2,
82_1087157,,,,1,5,,,,,,
82_1087162,,,,,,24,32,,,,
82_1087185,,1,,,5,6,32,2,,,1
82_1087186,,,,,,,,1,,,
82_1087193,,1,,,,6,,,,,2
82_1087211,,,,,5,11,37,2,,,
82_1087225,,,7,,,,,,,,
82_1087227,,4,,1,,7,,2,,,1
82_1087239,,,,,3,6,32,1,,,
82_1087244,,1,,,,6,,,,,2
82_1087255,,,,,8,,32,,,4,
82_1087264,,,,,,,14,,,4,1
82_1087273,,,,,10,,34,,,,
82_1087277,,,,,10,,1,,,,
