cod_modelo_color,cod_color,des_sex,des_age,des_line,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,des_filename,des_color,cane_height_type,closure_placement,heel_shape_type,knit_structure,length_type,neck_lapel_type,silhouette_type,sleeve_length_type,toecap_type,waist_type,woven_structure
81_1067230,92,Female,Adult,WOMAN,WOVEN,Outerwear,Jackets and Blazers,Blazers,Blazer,81_1067230_77067605-92_.jpg,GRIS,,,,,,29.0,32.0,,,,2.0
85_1199009,OR,Female,Kids,KIDS,ACCESSORIES,"Accesories, Swim and Intimate",Accessories,Footwear,Shoes,85_1199009_37006711-OR_.jpg,ORO,,,7.0,,,,,,4.0,,
82_1114976,20,Female,Kids,KIDS,WOVEN,Tops,Shirts,Shirt,Blouse,82_1114976_87097630-20_.jpg,NARANJA,,3.0,,,4.0,5.0,32.0,5.0,,,1.0
83_1138296,56,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,83_1138296_17035761-56_.jpg,NAVY,,1.0,,,10.0,26.0,34.0,2.0,,,1.0
83_1127447,TC,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,83_1127447_17014033-TC_.jpg,TEJANO CLARO,,1.0,,,10.0,26.0,34.0,2.0,,,1.0
82_1113274,70,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,82_1113274_87035718-70_.jpg,ROJO,,3.0,,,3.0,24.0,20.0,1.0,,,1.0
84_1165983,99,Female,Adult,WOMAN,CIRCULAR,Tops,Shirts,Shirt,Shirt,84_1165983_27091150-99_.jpg,NEGRO,,1.0,,,10.0,6.0,32.0,2.0,,,1.0
81_1045778,56,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,81_1045778_77000511-56_.jpg,NAVY,,,,,,26.0,37.0,2.0,,,
85_1184524,30,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,85_1184524_37014021-30_.jpg,MARRON,,1.0,,,10.0,26.0,34.0,2.0,,,1.0
83_1124000,TC,Male,Adult,MAN,JEANS,Tops,Shirts,Shirt,Shirt,83_1124000_17050918-TC_.jpg,TEJANO CLARO,,1.0,,,10.0,6.0,34.0,1.0,,,3.0
83_1123124,56,Male,Adult,MAN,WOVEN,Outerwear,Coats and Parkas,Coats,Coat,83_1123124_17025524-56_.jpg,NAVY,,1.0,,,10.0,26.0,37.0,2.0,,,3.0
83_1139664,36,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,83_1139664_17067704-36_.jpg,OLIVA,,5.0,,,8.0,14.0,32.0,5.0,,,1.0
85_1195600,07,Male,Teen,KIDS,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,85_1195600_37094032-07_.jpg,ARENA,,6.0,,,10.0,31.0,32.0,2.0,,,3.0
82_1100868,94,Male,Teen,KIDS,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,82_1100868_87091044-94_.jpg,GRIS MEDIO VIGORE,,,,2.0,,,27.0,,,,
83_1139681,56,Male,Kids,KIDS,WOVEN,Tops,Shirts,Shirt,Shirt,83_1139681_17007877-56_.jpg,NAVY,,1.0,,,10.0,6.0,34.0,2.0,,,3.0
83_1126845,02,Female,Baby,KIDS,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,83_1126845_17083257-02_.jpg,OFFWHITE,,6.0,,,10.0,31.0,32.0,2.0,,,3.0
83_1141182,30,Female,Adult,WOMAN,ACCESSORIES,"Accesories, Swim and Intimate",Accessories,Footwear,Boots,83_1141182_17015939-30_.jpg,MARRON,1.0,,7.0,,,,,,4.0,,
84_1162300,94,Male,Kids,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1162300_27044380-94_.jpg,GRIS MEDIO VIGORE,,,,,10.0,31.0,32.0,1.0,,,1.0
84_1162156,02,Male,Kids,KIDS,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,84_1162156_27045131-02_.jpg,OFFWHITE,,1.0,,,10.0,7.0,32.0,2.0,,,3.0
85_1182934,68,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,85_1182934_37050455-68_.jpg,MALVA,,1.0,,1.0,5.0,24.0,32.0,2.0,,,
85_1209543,88,Female,Adult,WOMAN,TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,85_1209543_37097764-88_.jpg,FUCSIA,,6.0,,3.0,5.0,23.0,32.0,2.0,,,
82_1115613,05,Female,Adult,WOMAN,JEANS,Tops,Shirts,Shirt,Shirt,82_1115613_87087644-05_.jpg,CRUDO,,1.0,,,5.0,6.0,34.0,2.0,,,3.0
82_1087956,50,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,82_1087956_87012886-50_.jpg,CELESTE,,,,,4.0,,32.0,,,4.0,
81_1073794,30,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,81_1073794_77044429-30_.jpg,MARRON,,,,,3.0,6.0,37.0,2.0,,,
84_1165413,56,Male,Adult,MAN,TRICOT,Tops,T-shirts,Poloshirts,Poloshirt,84_1165413_27015904-56_.jpg,NAVY,,4.0,,1.0,10.0,25.0,32.0,1.0,,,
82_1095579,99,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,82_1095579_87024023-99_.jpg,NEGRO,,6.0,,,5.0,24.0,32.0,2.0,,,1.0
84_1158449,56,Female,Kids,KIDS,WOVEN,Outerwear,Coats and Parkas,Puffer coats,Puffer coat,84_1158449_27012004-56_.jpg,NAVY,,1.0,,,7.0,7.0,32.0,2.0,,,1.0
84_1164102,99,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,84_1164102_27081147-99_.jpg,NEGRO,,,,,5.0,,44.0,,,2.0,3.0
83_1114816,CU,Female,Adult,WOMAN,ACCESSORIES,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,83_1114816_17010129-CU_.jpg,CUERO,,,7.0,,,,,,4.0,,
83_1118064,99,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,83_1118064_17040183-99_.jpg,NEGRO,,1.0,,,10.0,31.0,32.0,3.0,,,1.0
86_1228174,08,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,86_1228174_47077126-08_.jpg,BEIGE,,,,,8.0,,32.0,,,,
86_1210754,50,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,86_1210754_47035906-50_.jpg,CELESTE,,1.0,,,10.0,18.0,34.0,2.0,,,1.0
84_1183038,99,Female,Adult,WOMAN,CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,84_1183038_27055806-99_.jpg,NEGRO,,6.0,,,3.0,14.0,,5.0,,,1.0
84_1167499,75,Male,Baby,KIDS,CIRCULAR,Tops,T-shirts,Poloshirts,Poloshirt,84_1167499_27036306-75_.jpg,CEREZA,,4.0,,,10.0,25.0,32.0,1.0,,,3.0
84_1171308,14,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,84_1171308_27037114-14_.jpg,LIMA,,1.0,,3.0,3.0,24.0,32.0,2.0,,,
85_1179402,TN,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,85_1179402_37010992-TN_.jpg,TEJANO NEGRO,,,,,4.0,,34.0,,,4.0,3.0
82_1089998,01,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,82_1089998_87002013-01_.jpg,BLANCO,,,,,8.0,5.0,20.0,4.0,,,
82_1109209,12,Female,Teen,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,82_1109209_87035914-12_.jpg,AMARILLO,,,,,4.0,31.0,27.0,1.0,,,1.0
86_1223331,02,Male,Baby,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,86_1223331_47005952-02_.jpg,OFFWHITE,,,,,,31.0,32.0,1.0,,,
85_1201397,56,Male,Adult,MAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,85_1201397_37016718-56_.jpg,NAVY,,,,,10.0,31.0,34.0,1.0,,,1.0
81_1072103,99,Female,Adult,WOMAN,CIRCULAR,Tops,Sweaters and Cardigans,Cardigans,Cardigan,81_1072103_77075941-99_.jpg,NEGRO,,6.0,,1.0,5.0,,32.0,2.0,,,
82_1110929,08,Male,Adult,MAN,CIRCULAR,Bottoms,Skirts and shorts,Shorts,Bermudas,82_1110929_87067879-08_.jpg,BEIGE,,,,,,,32.0,,,1.0,1.0
84_1189177,52,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,84_1189177_27039205-52_.jpg,AZUL,,6.0,,,9.0,,37.0,,,1.0,1.0
86_1226021,92,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Shirt,86_1226021_47057107-92_.jpg,GRIS,,1.0,,,10.0,6.0,34.0,1.0,,,1.0
83_1146121,45,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,83_1146121_17007755-45_.jpg,AGUA,,,,,,5.0,,2.0,,,1.0
84_1158983,52,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,84_1158983_27040069-52_.jpg,AZUL,,,,,,,,,,4.0,3.0
82_1109334,02,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,82_1109334_87014058-02_.jpg,OFFWHITE,,1.0,,,10.0,6.0,32.0,2.0,,,1.0
84_1180188,43,Female,Adult,WOMAN,TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,84_1180188_27069046-43_.jpg,VERDE,,6.0,,1.0,5.0,31.0,37.0,5.0,,,
84_1163719,99,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,84_1163719_27014017-99_.jpg,NEGRO,,1.0,,,5.0,6.0,,2.0,,,1.0
83_1123660,02,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Shirt,83_1123660_17072503-02_.jpg,OFFWHITE,,1.0,,,10.0,6.0,27.0,2.0,,,1.0
84_1168941,99,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Shirt,84_1168941_27095771-99_.jpg,NEGRO,,1.0,,,5.0,6.0,34.0,2.0,,,1.0
84_1159638,01,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Shirt,84_1159638_27072519-01_.jpg,BLANCO,,1.0,,,10.0,6.0,32.0,1.0,,,1.0
83_1115680,37,Male,Kids,KIDS,WOVEN,Outerwear,Coats and Parkas,Puffer coats,Puffer coat,83_1115680_17055514-37_.jpg,KHAKI,,1.0,,,5.0,7.0,32.0,2.0,,,2.0
85_1182370,TM,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,85_1182370_37010427-TM_.jpg,TEJANO MEDIO,,,,,5.0,,44.0,,,2.0,3.0
83_1141982,05,Female,Kids,KIDS,ACCESSORIES,"Accesories, Swim and Intimate",Accessories,Footwear,Trainers,83_1141982_17097718-05_.jpg,CRUDO,,,7.0,,,,,,4.0,,
84_1169990,02,Female,Kids,KIDS,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,84_1169990_27086314-02_.jpg,OFFWHITE,,,,,10.0,31.0,32.0,2.0,,,3.0
85_1206283,68,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,85_1206283_37095942-68_.jpg,MALVA,,6.0,,1.0,10.0,23.0,32.0,2.0,,,
82_1090987,02,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,82_1090987_87042885-02_.jpg,OFFWHITE,,1.0,,,10.0,31.0,32.0,2.0,,,1.0
83_1137586,95,Male,Baby,KIDS,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Overall,83_1137586_17066307-95_.jpg,ANTRACITA,,,,,5.0,,,,,,3.0
84_1155734,43,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,84_1155734_27051050-43_.jpg,VERDE,,,,,5.0,,34.0,,,2.0,1.0
81_1063992,39,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,81_1063992_77014388-39_.jpg,DARK CAZA,,,,,4.0,,,,,,
82_1087799,44,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,82_1087799_87010528-44_.jpg,ESMERALDA,,6.0,,1.0,5.0,24.0,32.0,2.0,,,
83_1123354,08,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,83_1123354_17044016-08_.jpg,BEIGE,,,,,10.0,,37.0,,,1.0,1.0
83_1123380,56,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,83_1123380_17090162-56_.jpg,NAVY,,1.0,,,3.0,6.0,20.0,2.0,,,1.0
86_35278330,92,Female,Adult,WOMAN,CIRCULAR,Tops,Tops,Tops,Top,86_35278330_47049404-92_.jpg,GRIS,,,,,,14.0,,4.0,,,1.0
86_1211493,81,Female,Teen,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,86_1211493_47022510-81_.jpg,ROSA PASTEL,,,,,4.0,24.0,34.0,2.0,,,3.0
83_1149773,88,Female,Adult,WOMAN,WOVEN,Outerwear,Jackets and Blazers,Jackets,Jacket,83_1149773_17065958-88_.jpg,FUCSIA,,1.0,,,7.0,5.0,32.0,2.0,,,3.0
84_1188640,05,Female,Adult,WOMAN,TRICOT,Tops,Tops,Tops,Top,84_1188640_27038643-05_.jpg,CRUDO,,,,2.0,10.0,5.0,32.0,5.0,,,
83_1119991,01,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,83_1119991_17040190-01_.jpg,BLANCO,,,,,10.0,31.0,32.0,1.0,,,1.0
85_1187224,01,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,85_1187224_37081275-01_.jpg,BLANCO,,,,,9.0,,32.0,,,4.0,3.0
83_1144746,73,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,83_1144746_17017710-73_.jpg,BLOOD,,6.0,,1.0,10.0,5.0,32.0,2.0,,,
81_1044849,99,Male,Adult,MAN,WOVEN,Outerwear,Jackets and Blazers,Blazers,Blazer,81_1044849_77070505-99_.jpg,NEGRO,,,,,,26.0,37.0,,,,
86_1228761,08,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,86_1228761_47008643-08_.jpg,BEIGE,,6.0,,,5.0,24.0,20.0,5.0,,,1.0
86_1226304,05,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,86_1226304_47047116-05_.jpg,CRUDO,,1.0,,,5.0,6.0,32.0,3.0,,,1.0
84_1175964,02,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Shirt,84_1175964_27047120-02_.jpg,OFFWHITE,,1.0,,,10.0,6.0,34.0,3.0,,,1.0
85_1194617,08,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,85_1194617_37097705-08_.jpg,BEIGE,,1.0,,,10.0,26.0,34.0,2.0,,,1.0
85_1191431,68,Female,Adult,WOMAN,TRICOT,Bottoms,Skirts and shorts,Skirts,Skirt,85_1191431_37061296-68_.jpg,MALVA,,6.0,,1.0,9.0,,37.0,,,1.0,
84_1159276,07,Male,Adult,MAN,CIRCULAR,Outerwear,Jackets and Blazers,Blazers,Blazer,84_1159276_27005702-07_.jpg,ARENA,,1.0,,,5.0,26.0,37.0,2.0,,,1.0
85_1186583,TN,Male,Adult,MAN,JEANS,Outerwear,Jackets and Blazers,Jackets,Jacket,85_1186583_37045908-TN_.jpg,TEJANO NEGRO,,,,,3.0,,37.0,,,,
83_1130729,85,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Shirt,83_1130729_17052523-85_.jpg,ROSA,,1.0,,,10.0,6.0,32.0,2.0,,,1.0
85_1188341,TO,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,85_1188341_37004029-TO_.jpg,TEJANO OSCURO,,1.0,,,10.0,26.0,37.0,2.0,,,1.0
83_1123585,TM,Female,Baby,KIDS,JEANS,Bottoms,Skirts and shorts,Skirts,Skirt,83_1123585_17090876-TM_.jpg,TEJANO MEDIO,,1.0,,,3.0,,32.0,,,4.0,3.0
86_1212356,30,Female,Adult,WOMAN,WOVEN,Outerwear,Jackets and Blazers,Blazers,Blazer,86_1212356_47071279-30_.jpg,MARRON,,1.0,,,10.0,,34.0,,,,3.0
86_1226375,99,Female,Adult,WOMAN,CIRCULAR,Tops,Tops,Tops,Top,86_1226375_47087877-99_.jpg,NEGRO,,,,,10.0,31.0,37.0,3.0,,,1.0
85_1198279,85,Female,Baby,KIDS,CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,85_1198279_37086309-85_.jpg,ROSA,,6.0,,,3.0,1.0,20.0,2.0,,,3.0
83_1111801,56,Male,Adult,MAN,WOVEN,Outerwear,Coats and Parkas,Trenchcoats,Trenchcoat,83_1111801_17004003-56_.jpg,NAVY,,1.0,,,10.0,31.0,32.0,,,,3.0
85_1189909,99,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,85_1189909_37053841-99_.jpg,NEGRO,,1.0,,,5.0,,20.0,,,4.0,1.0
84_1181160,99,Female,Adult,WOMAN,CIRCULAR,Tops,Sweaters and Cardigans,Cardigans,Cardigan,84_1181160_27085804-99_.jpg,NEGRO,,1.0,,,4.0,24.0,37.0,2.0,,,1.0
84_1164073,12,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,84_1164073_27094009-12_.jpg,AMARILLO,,5.0,,,10.0,11.0,20.0,2.0,,,1.0
84_1162367,23,Female,Adult,WOMAN,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,84_1162367_27043260-23_.jpg,MANDARINA,,6.0,,,10.0,31.0,47.0,2.0,,,3.0
85_1173639,36,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,85_1173639_37040036-36_.jpg,OLIVA,,,,,10.0,,37.0,,,4.0,1.0
82_1083926,56,Male,Adult,MAN,WOVEN,Outerwear,Jackets and Blazers,Jackets,Jacket,82_1083926_87067105-56_.jpg,NAVY,,,,,3.0,,,,,,
83_1136414,02,Male,Kids,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,83_1136414_17026307-02_.jpg,OFFWHITE,,,,,10.0,31.0,32.0,2.0,,,1.0
86_1229843,01,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,86_1229843_47038638-01_.jpg,BLANCO,,,,,10.0,31.0,32.0,1.0,,,1.0
86_1219074,05,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,86_1219074_47085919-05_.jpg,CRUDO,,1.0,,,8.0,6.0,32.0,1.0,,,1.0
84_1152244,56,Male,Adult,MAN,CIRCULAR,Tops,Shirts,Shirt,Shirt,84_1152244_27040650-56_.jpg,NAVY,,1.0,,,10.0,17.0,34.0,2.0,,,3.0
81_1054657,99,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,81_1054657_77050533-99_.jpg,NEGRO,,,,,3.0,14.0,20.0,5.0,,,
86_1208597,05,Female,Adult,WOMAN,WOVEN,Outerwear,Coats and Parkas,Coats,Coat,86_1208597_47040057-05_.jpg,CRUDO,,1.0,,,5.0,29.0,32.0,2.0,,,2.0
86_1220581,07,Male,Adult,MAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,86_1220581_47095923-07_.jpg,ARENA,,,,,10.0,31.0,37.0,1.0,,,1.0
82_1088029,05,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,82_1088029_87030528-05_.jpg,CRUDO,,6.0,,1.0,5.0,30.0,32.0,2.0,,,
85_1212239,05,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,85_1212239_37089403-05_.jpg,CRUDO,,,,,8.0,,20.0,,,4.0,
84_1171601,81,Female,Adult,WOMAN,TRICOT,Tops,Tops,Tops,Top,84_1171601_27097114-81_.jpg,ROSA PASTEL,,,,1.0,10.0,14.0,32.0,4.0,,,
83_1112256,30,Male,Adult,MAN,WOVEN,Outerwear,Coats and Parkas,Trenchcoats,Trenchcoat,83_1112256_17004004-30_.jpg,MARRON,,5.0,,,5.0,22.0,27.0,,,,3.0
86_1223928,02,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,86_1223928_47004043-02_.jpg,OFFWHITE,,6.0,,,8.0,,,5.0,,,1.0
85_1185781,56,Male,Baby,KIDS,WOVEN,Tops,Shirts,Shirt,Shirt,85_1185781_37063256-56_.jpg,NAVY,,1.0,,,10.0,6.0,34.0,2.0,,,1.0
83_1135389,43,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,83_1135389_17044761-43_.jpg,VERDE,,1.0,,,5.0,6.0,20.0,2.0,,,1.0
81_1072090,99,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,81_1072090_77057615-99_.jpg,NEGRO,,,,,5.0,,32.0,,,4.0,
85_1180648,02,Female,Kids,KIDS,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,85_1180648_37094753-02_.jpg,OFFWHITE,,6.0,,3.0,4.0,31.0,32.0,2.0,,,
85_1190860,61,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,85_1190860_37041292-61_.jpg,LILA,,,,,5.0,,32.0,,,3.0,3.0
83_1124410,99,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,83_1124410_17001025-99_.jpg,NEGRO,,6.0,,,5.0,5.0,32.0,2.0,,,1.0
86_1210695,08,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,86_1210695_47045903-08_.jpg,BEIGE,,1.0,,,10.0,18.0,37.0,2.0,,,1.0
86_1212818,68,Female,Teen,KIDS,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,86_1212818_47036303-68_.jpg,MALVA,,,,,3.0,,32.0,,,,3.0
85_1195655,32,Female,Adult,WOMAN,LEATHER,Tops,Shirts,Shirt,Shirt,85_1195655_37065137-32_.jpg,CHOCOLATE,,1.0,,,,,32.0,,,,
82_1098277,52,Female,Teen,KIDS,WOVEN,Tops,Shirts,Shirt,Blouse,82_1098277_87041041-52_.jpg,AZUL,,4.0,,,4.0,5.0,32.0,2.0,,,1.0
86_1217861,01,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,86_1217861_47054016-01_.jpg,BLANCO,,,,,10.0,31.0,32.0,2.0,,,1.0
81_1079831,TN,Male,Kids,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,81_1079831_77069025-TN_.jpg,TEJANO NEGRO,,,,,5.0,,,,,,
85_1193902,01,Male,Adult,MAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,85_1193902_37042521-01_.jpg,BLANCO,,,,,10.0,31.0,34.0,1.0,,,1.0
84_1151192,02,Female,Kids,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1151192_27040155-02_.jpg,OFFWHITE,,,,,10.0,31.0,34.0,2.0,,,1.0
86_1215992,56,Male,Adult,MAN,TRICOT,Tops,T-shirts,Poloshirts,Poloshirt,86_1215992_47025913-56_.jpg,NAVY,,4.0,,1.0,10.0,25.0,32.0,1.0,,,
86_1205925,08,Male,Adult,MAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,86_1205925_47040808-08_.jpg,BEIGE,,6.0,,3.0,10.0,5.0,32.0,2.0,,,
82_1097715,02,Female,Adult,WOMAN,WOVEN,Tops,Tops,Tops,Top,82_1097715_87084027-02_.jpg,OFFWHITE,,,,,10.0,5.0,32.0,3.0,,,1.0
83_1139880,99,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,83_1139880_17075932-99_.jpg,NEGRO,,1.0,,3.0,10.0,24.0,32.0,2.0,,,
85_1192821,70,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,85_1192821_37031308-70_.jpg,ROJO,,,,,5.0,,32.0,,,3.0,3.0
83_1146153,52,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,83_1146153_17013795-52_.jpg,AZUL,,1.0,,,10.0,18.0,32.0,2.0,,,1.0
82_1111281,41,Female,Teen,KIDS,CIRCULAR,Bottoms,Skirts and shorts,Shorts,Shorts,82_1111281_87064775-41_.jpg,MENTA,,,,,3.0,,,,,,
83_1121732,08,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,83_1121732_17072005-08_.jpg,BEIGE,,5.0,,,5.0,5.0,32.0,3.0,,,1.0
83_1140526,07,Female,Teen,KIDS,CIRCULAR,Bottoms,Trousers & leggings,Leggings and joggers,Joggers,83_1140526_17075135-07_.jpg,ARENA,,,,,10.0,,23.0,,,1.0,3.0
81_1088555,07,Female,Adult,WOMAN,CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,81_1088555_77089224-07_.jpg,ARENA,,,,,8.0,,20.0,,,,
83_1129820,99,Female,Adult,WOMAN,WOVEN,Tops,Tops,Tops,Top,83_1129820_17051085-99_.jpg,NEGRO,,,,,4.0,5.0,37.0,4.0,,,1.0
85_1176804,43,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,85_1176804_37000811-43_.jpg,VERDE,,1.0,,,10.0,17.0,34.0,1.0,,,1.0
86_1228608,02,Female,Adult,WOMAN,WOVEN,Tops,Tops,Tops,Top,86_1228608_47078631-02_.jpg,OFFWHITE,,,,,10.0,16.0,37.0,3.0,,,1.0
85_1192627,06,Female,Adult,WOMAN,WOVEN,Outerwear,Coats and Parkas,Coats,Coat,85_1192627_37005556-06_.jpg,PIEDRA,,1.0,,,3.0,6.0,37.0,2.0,,,2.0
81_1035413,37,Male,Adult,MAN,WOVEN,Outerwear,Jackets and Blazers,Jackets,Jacket,81_1035413_77000502-37_.jpg,KHAKI,,,,,3.0,,,,,,
85_1225364,08,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,85_1225364_37019113-08_.jpg,BEIGE,,,,1.0,,,,,,,
81_1071549,02,Male,Kids,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,81_1071549_77055941-02_.jpg,OFFWHITE,,,,,,,,2.0,,,
85_1198904,06,Female,Adult,WOMAN,TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,85_1198904_37055946-06_.jpg,PIEDRA,,6.0,,3.0,3.0,14.0,37.0,2.0,,,
